%y U V uu vv uv temp
0.001574 0.108506 0.001679 0.008970 0.000250 -0.000173 0.000000
0.003864 0.131784 -0.001732 0.009332 0.001138 -0.000741 0.000000
0.006154 0.141225 -0.003133 0.009082 0.001768 -0.001134 0.000000
0.008443 0.148092 -0.004716 0.009079 0.002332 -0.001550 0.000000
0.010733 0.153975 -0.006301 0.009133 0.002810 -0.001990 0.000000
0.013023 0.161627 -0.008150 0.009357 0.003312 -0.002421 0.000000
0.015312 0.169427 -0.010421 0.009727 0.003710 -0.002838 0.000000
0.017602 0.177371 -0.012304 0.010083 0.004083 -0.003265 0.000000
0.019892 0.185084 -0.014545 0.010595 0.004443 -0.003659 0.000000
0.022181 0.193151 -0.016589 0.011047 0.004780 -0.004037 0.000000
0.024471 0.202335 -0.018671 0.011622 0.004970 -0.004357 0.000000
0.026761 0.211386 -0.020047 0.012182 0.005157 -0.004664 0.000000
0.029051 0.220928 -0.021993 0.012694 0.005326 -0.004892 0.000000
0.031340 0.230635 -0.023410 0.013183 0.005534 -0.005107 0.000000
0.033630 0.241059 -0.025230 0.013551 0.005646 -0.005298 0.000000
0.035920 0.251848 -0.026543 0.013895 0.005681 -0.005367 0.000000
0.038209 0.262149 -0.027311 0.014028 0.005669 -0.005433 0.000000
0.040499 0.272261 -0.028078 0.014262 0.005738 -0.005444 0.000000
0.042789 0.282388 -0.028328 0.014293 0.005724 -0.005430 0.000000
0.045078 0.292694 -0.028534 0.014177 0.005582 -0.005291 0.000000
0.047368 0.301714 -0.028499 0.014031 0.005557 -0.005215 0.000000
0.049658 0.311098 -0.027838 0.013850 0.005474 -0.005110 0.000000
0.051660 0.317729 -0.029026 0.013614 0.005173 -0.004829 0.000000
0.053950 0.327252 -0.028769 0.013402 0.005138 -0.004700 0.000000
0.056240 0.336267 -0.028133 0.013012 0.004966 -0.004515 0.000000
0.058530 0.344953 -0.027379 0.012437 0.004815 -0.004260 0.000000
0.060820 0.353384 -0.026638 0.011911 0.004702 -0.004023 0.000000
0.063110 0.361159 -0.025846 0.011411 0.004563 -0.003822 0.000000
0.065400 0.368692 -0.024770 0.010962 0.004435 -0.003644 0.000000
0.067690 0.375478 -0.023683 0.010474 0.004309 -0.003480 0.000000
0.069980 0.382289 -0.022777 0.009896 0.004141 -0.003244 0.000000
0.072270 0.388255 -0.021762 0.009391 0.004050 -0.003067 0.000000
0.074560 0.393897 -0.020839 0.008903 0.003926 -0.002871 0.000000
0.076850 0.398874 -0.019597 0.008412 0.003820 -0.002690 0.000000
0.079140 0.403809 -0.018471 0.007979 0.003678 -0.002536 0.000000
0.081425 0.408560 -0.017797 0.007582 0.003542 -0.002351 0.000000
0.083715 0.413218 -0.017165 0.007239 0.003436 -0.002207 0.000000
0.086005 0.417503 -0.016285 0.006816 0.003358 -0.002054 0.000000
0.088295 0.421577 -0.015845 0.006420 0.003199 -0.001911 0.000000
0.090585 0.425539 -0.015215 0.006146 0.003087 -0.001787 0.000000
0.092875 0.428819 -0.014264 0.005908 0.002993 -0.001667 0.000000
0.095165 0.431612 -0.013184 0.005606 0.002868 -0.001534 0.000000
0.097455 0.434226 -0.012392 0.005372 0.002763 -0.001433 0.000000
0.099745 0.436819 -0.011565 0.005192 0.002675 -0.001352 0.000000
0.102030 0.439382 -0.010726 0.004982 0.002588 -0.001272 0.000000
0.104320 0.441642 -0.010166 0.004834 0.002529 -0.001213 0.000000
0.106610 0.443435 -0.009153 0.004699 0.002466 -0.001126 0.000000
0.108900 0.445434 -0.008438 0.004502 0.002335 -0.001029 0.000000
0.111190 0.447069 -0.007707 0.004325 0.002254 -0.000966 0.000000
0.113480 0.449119 -0.006854 0.004105 0.002178 -0.000874 0.000000
0.115770 0.451031 -0.006245 0.003908 0.002059 -0.000783 0.000000
0.118060 0.452486 -0.005742 0.003752 0.001919 -0.000701 0.000000
0.120350 0.453460 -0.005195 0.003631 0.001853 -0.000624 0.000000
0.122640 0.453962 -0.004553 0.003536 0.001738 -0.000543 0.000000
0.124930 0.454429 -0.003922 0.003441 0.001651 -0.000458 0.000000
0.127220 0.454449 -0.003307 0.003329 0.001513 -0.000349 0.000000
0.129520 0.453844 -0.002647 0.003250 0.001395 -0.000262 0.000000
0.131800 0.452368 -0.002259 0.003181 0.001301 -0.000190 0.000000
0.134090 0.449903 -0.001426 0.003065 0.001174 -0.000112 0.000000
0.136380 0.445870 -0.000760 0.003011 0.001039 -0.000034 0.000000
0.138670 0.440468 -0.000173 0.003027 0.000925 0.000053 0.000000
0.140960 0.432417 0.000622 0.003025 0.000789 0.000151 0.000000
0.143250 0.419907 0.000985 0.003109 0.000680 0.000215 0.000000
0.145540 0.401769 0.002137 0.003261 0.000564 0.000265 0.000000
